Company_Symbol,Year,Total_Board_Meetings_Per_Year,Company_Overall_Attendance,Total_Should_Attend,Company_Overall_Attendance_Percentage
AIE,2026,N/A,N/A,N/A,N/A
AIRA,2021,N/A,N/A,N/A,N/A
AIRA,2022,6,70,72,97.22
AIRA,2023,6,72,72,100.0
AIRA,2024,6,70,71,98.59
AIRA,2025,6,72,72,100.0
AIRA,2026,N/A,N/A,N/A,N/A
AIT,2021,N/A,N/A,N/A,N/A
AIT,2022,N/A,N/A,N/A,N/A
AIT,2023,6,76,79,96.2
AIT,2024,6,79,81,97.53
AIT,2025,6,76,78,97.44
AIT,2026,N/A,N/A,N/A,N/A
AI,2021,N/A,N/A,N/A,N/A
AI,2022,6,30,30,100.0
AI,2023,7,40,49,81.63
AI,2024,5,36,40,90.0
AI,2025,4,31,31,100.0
AI,2026,N/A,N/A,N/A,N/A
AJA,2021,N/A,N/A,N/A,N/A
AJA,2022,9,72,72,100.0
AJA,2023,9,71,72,98.61
AJA,2024,10,76,90,84.44
AJA,2025,N/A,N/A,N/A,N/A
AJA,2026,N/A,N/A,N/A,N/A
AJ,2021,N/A,N/A,N/A,N/A
AJ,2022,6,53,53,100.0
AJ,2023,6,54,54,100.0
AJ,2024,6,54,54,100.0
AJ,2025,6,54,54,100.0
AJ,2026,N/A,N/A,N/A,N/A
AKP,2021,N/A,N/A,N/A,N/A
AKP,2022,4,36,36,100.0
AKP,2023,4,36,36,100.0
AKP,2024,4,40,40,100.0
AKP,2025,5,50,50,100.0
AKP,2026,N/A,N/A,N/A,N/A
AKR,2021,N/A,N/A,N/A,N/A
AKR,2022,11,110,110,100.0
AKR,2023,11,109,110,99.09
AKR,2024,11,109,110,99.09
AKR,2025,12,120,120,100.0
AKR,2026,N/A,N/A,N/A,N/A
AKS,2021,N/A,N/A,N/A,N/A
AKS,2022,15,95,101,94.06
AKS,2023,N/A,N/A,N/A,N/A
AKS,2024,17,110,111,99.1
AKS,2025,N/A,N/A,N/A,N/A
AKS,2026,N/A,N/A,N/A,N/A
ALLA,2021,N/A,N/A,N/A,N/A
ALLA,2022,8,64,64,100.0
ALLA,2023,6,45,48,93.75
ALLA,2024,6,48,48,100.0
ALLA,2025,5,40,40,100.0
ALLA,2026,N/A,N/A,N/A,N/A
ALLY,2021,N/A,N/A,N/A,N/A
ALLY,2022,N/A,N/A,N/A,N/A
ALLY,2023,7,3,3,100.0
ALLY,2024,7,22,22,100.0
ALLY,2025,N/A,N/A,N/A,N/A
ALLY,2026,N/A,N/A,N/A,N/A
ALPHAX,2021,N/A,N/A,N/A,N/A
ALPHAX,2022,7,57,57,100.0
ALPHAX,2023,N/A,N/A,N/A,N/A
ALPHAX,2024,9,82,82,100.0
ALPHAX,2025,6,50,52,96.15
ALPHAX,2026,N/A,N/A,N/A,N/A
ALT,2021,N/A,N/A,N/A,N/A
ALT,2022,4,35,36,97.22
ALT,2023,4,36,40,90.0
ALT,2024,5,39,41,95.12
ALT,2025,7,51,52,98.08
ALT,2026,N/A,N/A,N/A,N/A
ALUCON,2021,N/A,N/A,N/A,N/A
ALUCON,2022,5,55,55,100.0
ALUCON,2023,4,44,44,100.0
ALUCON,2024,4,44,44,100.0
ALUCON,2025,4,44,44,100.0
ALUCON,2026,N/A,N/A,N/A,N/A
AMANAH,2021,N/A,N/A,N/A,N/A
AMANAH,2022,13,142,143,99.3
AMANAH,2023,13,139,143,97.2
AMANAH,2024,6,154,159,96.86
AMANAH,2025,15,146,147,99.32
AMANAH,2026,N/A,N/A,N/A,N/A
AMARC,2021,N/A,N/A,N/A,N/A
AMARC,2022,6,48,48,100.0
AMARC,2023,6,48,48,100.0
AMARC,2024,7,56,56,100.0
AMARC,2025,6,42,42,100.0
AMARC,2026,N/A,N/A,N/A,N/A
AMARIN,2021,N/A,N/A,N/A,N/A
AMARIN,2022,5,55,55,100.0
AMARIN,2023,6,59,61,96.72
AMARIN,2024,7,84,84,100.0
AMARIN,2025,5,58,60,96.67
AMARIN,2026,N/A,N/A,N/A,N/A
AMATAV,2021,N/A,N/A,N/A,N/A
AMATAV,2022,8,71,71,100.0
AMATAV,2023,9,74,74,100.0
AMATAV,2024,8,62,63,98.41
AMATAV,2025,9,72,72,100.0
AMATAV,2026,N/A,N/A,N/A,N/A
AMATA,2021,N/A,N/A,N/A,N/A
AMATA,2022,6,38,39,97.44
AMATA,2023,9,54,55,98.18
AMATA,2024,10,82,83,98.8
AMATA,2025,10,96,96,100.0
AMATA,2026,N/A,N/A,N/A,N/A
AMA,2021,N/A,N/A,N/A,N/A
AMA,2022,5,50,50,100.0
AMA,2023,4,39,40,97.5
AMA,2024,N/A,N/A,N/A,N/A
AMA,2025,N/A,N/A,N/A,N/A
AMA,2026,N/A,N/A,N/A,N/A
AMC,2021,N/A,N/A,N/A,N/A
AMC,2022,4,40,40,100.0
AMC,2023,6,58,60,96.67
AMC,2024,4,39,40,97.5
AMC,2025,4,36,40,90.0
AMC,2026,N/A,N/A,N/A,N/A
AMR,2021,N/A,N/A,N/A,N/A
AMR,2022,7,48,49,97.96
AMR,2023,10,69,70,98.57
AMR,2024,12,98,100,98.0
AMR,2025,11,96,99,96.97
AMR,2026,N/A,N/A,N/A,N/A
ANAN,2021,N/A,N/A,N/A,N/A
ANAN,2022,14,137,139,98.56
ANAN,2023,13,126,130,96.92
ANAN,2024,16,155,160,96.88
ANAN,2025,8,77,80,96.25
ANAN,2026,N/A,N/A,N/A,N/A
ANI,2021,N/A,N/A,N/A,N/A
ANI,2022,N/A,N/A,N/A,N/A
ANI,2023,10,77,80,96.25
ANI,2024,7,59,61,96.72
ANI,2025,N/A,N/A,N/A,N/A
ANI,2026,N/A,N/A,N/A,N/A
AOT,2021,N/A,N/A,N/A,N/A
AOT,2022,13,188,192,97.92
AOT,2023,15,202,210,96.19
AOT,2024,15,208,213,97.65
AOT,2025,17,243,244,99.59
AOT,2026,N/A,N/A,N/A,N/A
APCO,2021,N/A,N/A,N/A,N/A
APCO,2022,5,30,30,100.0
APCO,2023,5,32,33,96.97
APCO,2024,5,34,35,97.14
APCO,2025,5,34,35,97.14
APCO,2026,N/A,N/A,N/A,N/A
APCS,2021,N/A,N/A,N/A,N/A
APCS,2022,10,86,87,98.85
APCS,2023,5,35,35,100.0
APCS,2024,8,57,62,91.94
APCS,2025,8,56,56,100.0
APCS,2026,N/A,N/A,N/A,N/A
APP,2021,N/A,N/A,N/A,N/A
APP,2022,6,44,44,100.0
APP,2023,6,48,48,100.0
APP,2024,7,53,53,100.0
APP,2025,9,98,98,100.0
APP,2026,N/A,N/A,N/A,N/A
APURE,2021,N/A,N/A,N/A,N/A
APURE,2022,N/A,N/A,N/A,N/A
APURE,2023,5,47,50,94.0
APURE,2024,5,49,50,98.0
APURE,2025,4,39,40,97.5
APURE,2026,N/A,N/A,N/A,N/A
AP,2021,N/A,N/A,N/A,N/A
AP,2022,11,142,143,99.3
AP,2023,11,139,143,97.2
AP,2024,11,140,143,97.9
AP,2025,11,142,144,98.61
AP,2026,N/A,N/A,N/A,N/A
AQUA,2021,N/A,N/A,N/A,N/A
AQUA,2022,N/A,N/A,N/A,N/A
AQUA,2023,N/A,N/A,N/A,N/A
AQUA,2024,9,96,101,95.05
AQUA,2025,13,121,130,93.08
AQUA,2026,N/A,N/A,N/A,N/A
ARIN,2021,N/A,N/A,N/A,N/A
ARIN,2022,7,49,49,100.0
ARIN,2023,N/A,N/A,N/A,N/A
ARIN,2024,6,41,42,97.62
ARIN,2025,4,28,28,100.0
ARIN,2026,N/A,N/A,N/A,N/A
ARIP,2021,N/A,N/A,N/A,N/A
ARIP,2022,4,32,32,100.0
ARIP,2023,6,47,48,97.92
ARIP,2024,5,39,40,97.5
ARIP,2025,6,45,47,95.74
ARIP,2026,N/A,N/A,N/A,N/A
ARROW,2021,N/A,N/A,N/A,N/A
ARROW,2022,4,40,40,100.0
ARROW,2023,5,48,50,96.0
ARROW,2024,4,40,44,90.91
ARROW,2025,6,57,62,91.94
ARROW,2026,N/A,N/A,N/A,N/A
ASAP,2021,N/A,N/A,N/A,N/A
ASAP,2022,5,40,40,100.0
ASAP,2023,4,32,32,100.0
ASAP,2024,4,32,32,100.0
ASAP,2025,5,40,40,100.0
ASAP,2026,N/A,N/A,N/A,N/A
ASEFA,2021,N/A,N/A,N/A,N/A
ASEFA,2022,5,35,35,100.0
ASEFA,2023,7,49,49,100.0
ASEFA,2024,7,49,49,100.0
ASEFA,2025,7,49,49,100.0
ASEFA,2026,N/A,N/A,N/A,N/A
ASIAN,2021,N/A,N/A,N/A,N/A
ASIAN,2022,7,58,58,100.0
ASIAN,2023,6,46,48,95.83
ASIAN,2024,5,37,40,92.5
ASIAN,2025,4,30,32,93.75
ASIAN,2026,N/A,N/A,N/A,N/A
ASIA,2021,N/A,N/A,N/A,N/A
ASIA,2022,10,107,129,82.95
ASIA,2023,12,144,155,92.9
ASIA,2024,12,144,152,94.74
ASIA,2025,12,148,156,94.87
ASIA,2026,N/A,N/A,N/A,N/A
ASIMAR,2021,N/A,N/A,N/A,N/A
ASIMAR,2022,4,41,44,93.18
ASIMAR,2023,4,41,43,95.35
ASIMAR,2024,4,43,44,97.73
ASIMAR,2025,4,43,44,97.73
ASIMAR,2026,N/A,N/A,N/A,N/A
ASK,2021,N/A,N/A,N/A,N/A
ASK,2022,7,76,84,90.48
ASK,2023,6,61,72,84.72
ASK,2024,7,76,84,90.48
ASK,2025,4,66,71,92.96
ASK,2026,N/A,N/A,N/A,N/A
ASN,2021,N/A,N/A,N/A,N/A
ASN,2022,8,53,56,94.64
ASN,2023,6,40,42,95.24
ASN,2024,7,49,49,100.0
ASN,2025,N/A,N/A,N/A,N/A
ASN,2026,N/A,N/A,N/A,N/A
ASP,2021,N/A,N/A,N/A,N/A
ASP,2022,11,98,99,98.99
ASP,2023,12,105,108,97.22
ASP,2024,12,106,108,98.15
ASP,2025,12,105,108,97.22
ASP,2026,N/A,N/A,N/A,N/A
ASW,2021,N/A,N/A,N/A,N/A
ASW,2022,7,62,63,98.41
ASW,2023,6,53,54,98.15
ASW,2024,5,45,45,100.0
ASW,2025,5,45,45,100.0
ASW,2026,N/A,N/A,N/A,N/A
AS,2021,N/A,N/A,N/A,N/A
AS,2022,4,20,20,100.0
AS,2023,8,46,46,100.0
AS,2024,8,45,45,100.0
AS,2025,N/A,N/A,N/A,N/A
AS,2026,N/A,N/A,N/A,N/A
ATP30,2021,N/A,N/A,N/A,N/A
ATP30,2022,5,35,35,100.0
ATP30,2023,5,41,41,100.0
ATP30,2024,5,40,40,100.0
ATP30,2025,5,38,40,95.0
ATP30,2026,N/A,N/A,N/A,N/A
AUCT,2021,N/A,N/A,N/A,N/A
AUCT,2022,5,45,45,100.0
AUCT,2023,6,54,54,100.0
AUCT,2024,5,53,53,100.0
AUCT,2025,6,66,66,100.0
AUCT,2026,N/A,N/A,N/A,N/A
AURA,2021,N/A,N/A,N/A,N/A
AURA,2022,8,55,56,98.21
AURA,2023,7,49,49,100.0
AURA,2024,7,54,54,100.0
AURA,2025,7,49,49,100.0
AURA,2026,N/A,N/A,N/A,N/A
AU,2021,N/A,N/A,N/A,N/A
AU,2022,5,35,35,100.0
AU,2023,5,35,35,100.0
AU,2024,5,33,35,94.29
AU,2025,N/A,N/A,N/A,N/A
AU,2026,N/A,N/A,N/A,N/A
AWC,2021,N/A,N/A,N/A,N/A
AWC,2022,8,120,120,100.0
AWC,2023,8,104,104,100.0
AWC,2024,9,122,124,98.39
AWC,2025,8,110,111,99.1
AWC,2026,N/A,N/A,N/A,N/A
AYUD,2021,N/A,N/A,N/A,N/A
AYUD,2022,8,118,120,98.33
AYUD,2023,4,60,60,100.0
AYUD,2024,5,59,68,86.76
AYUD,2025,4,60,60,100.0
AYUD,2026,N/A,N/A,N/A,N/A
A,2021,N/A,N/A,N/A,N/A
A,2022,6,50,52,96.15
A,2023,5,44,45,97.78
A,2024,8,70,71,98.59
A,2025,N/A,N/A,N/A,N/A
A,2026,N/A,N/A,N/A,N/A
B52,2021,N/A,N/A,N/A,N/A
B52,2022,N/A,N/A,N/A,N/A
B52,2023,8,58,64,90.62
B52,2024,7,50,50,100.0
B52,2025,8,56,58,96.55
B52,2026,N/A,N/A,N/A,N/A
BAFS,2021,N/A,N/A,N/A,N/A
BAFS,2022,5,71,74,95.95
BAFS,2023,5,72,74,97.3
BAFS,2024,5,72,75,96.0
BAFS,2025,6,89,90,98.89
BAFS,2026,N/A,N/A,N/A,N/A
BAM,2021,N/A,N/A,N/A,N/A
BAM,2022,15,153,157,97.45
BAM,2023,14,150,154,97.4
BAM,2024,17,174,182,95.6
BAM,2025,16,183,184,99.46
BAM,2026,N/A,N/A,N/A,N/A
BANPU,2021,N/A,N/A,N/A,N/A
BANPU,2022,12,156,156,100.0
BANPU,2023,12,151,153,98.69
BANPU,2024,12,152,156,97.44
BANPU,2025,12,151,156,96.79
BANPU,2026,N/A,N/A,N/A,N/A
BAY,2021,N/A,N/A,N/A,N/A
BAY,2022,16,183,187,97.86
BAY,2023,16,185,190,97.37
BAY,2024,16,186,192,96.88
BAY,2025,16,188,189,99.47
BAY,2026,N/A,N/A,N/A,N/A
BA,2021,N/A,N/A,N/A,N/A
BA,2022,10,109,110,99.09
BA,2023,N/A,N/A,N/A,N/A
BA,2024,12,106,111,95.5
BA,2025,N/A,N/A,N/A,N/A
BA,2026,N/A,N/A,N/A,N/A
BBGI,2021,N/A,N/A,N/A,N/A
BBGI,2022,12,127,132,96.21
BBGI,2023,12,117,128,91.41
BBGI,2024,12,122,129,94.57
BBGI,2025,N/A,N/A,N/A,N/A
BBGI,2026,N/A,N/A,N/A,N/A
BBIK,2021,N/A,N/A,N/A,N/A
BBIK,2022,6,52,54,96.3
BBIK,2023,7,61,63,96.83
BBIK,2024,6,53,54,98.15
BBIK,2025,6,53,54,98.15
BBIK,2026,N/A,N/A,N/A,N/A
BBL,2021,N/A,N/A,N/A,N/A
BBL,2022,12,227,232,97.84
BBL,2023,12,233,238,97.9
BBL,2024,12,238,249,95.58
BBL,2025,12,236,240,98.33
BBL,2026,N/A,N/A,N/A,N/A
BCH,2021,N/A,N/A,N/A,N/A
BCH,2022,6,70,72,97.22
BCH,2023,6,70,72,97.22
BCH,2024,6,72,72,100.0
BCH,2025,5,60,60,100.0
BCH,2026,N/A,N/A,N/A,N/A
BCPG,2021,N/A,N/A,N/A,N/A
BCPG,2022,13,151,154,98.05
BCPG,2023,13,145,147,98.64
BCPG,2024,16,191,192,99.48
BCPG,2025,8,155,156,99.36
BCPG,2026,N/A,N/A,N/A,N/A
BCP,2021,N/A,N/A,N/A,N/A
BCP,2022,13,189,193,97.93
BCP,2023,15,219,221,99.1
BCP,2024,16,231,231,100.0
BCP,2025,16,248,249,99.6
BCP,2026,N/A,N/A,N/A,N/A
BCT,2021,N/A,N/A,N/A,N/A
BCT,2022,N/A,N/A,N/A,N/A
BCT,2023,N/A,N/A,N/A,N/A
BCT,2024,N/A,N/A,N/A,N/A
BCT,2025,4,21,32,65.62
BCT,2026,N/A,N/A,N/A,N/A
BC,2021,N/A,N/A,N/A,N/A
BC,2022,9,77,81,95.06
BC,2023,7,55,58,94.83
BC,2024,7,60,62,96.77
BC,2025,12,92,94,97.87
BC,2026,N/A,N/A,N/A,N/A
BDMS,2021,N/A,N/A,N/A,N/A
BDMS,2022,N/A,N/A,N/A,N/A
BDMS,2023,N/A,N/A,N/A,N/A
BDMS,2024,12,176,180,97.78
BDMS,2025,12,188,189,99.47
BDMS,2026,N/A,N/A,N/A,N/A
BE8,2021,N/A,N/A,N/A,N/A
BE8,2022,5,43,44,97.73
BE8,2023,6,53,54,98.15
BE8,2024,6,49,52,94.23
BE8,2025,5,41,45,91.11
BE8,2026,N/A,N/A,N/A,N/A
BEAUTY,2021,7,36,37,97.3
BEAUTY,2022,5,35,35,100.0
BEAUTY,2023,7,45,49,91.84
BEAUTY,2024,5,33,35,94.29
BEAUTY,2025,N/A,N/A,N/A,N/A
BEAUTY,2026,N/A,N/A,N/A,N/A
BEC,2021,N/A,N/A,N/A,N/A
BEC,2022,14,175,182,96.15
BEC,2023,14,175,180,97.22
BEC,2024,11,134,141,95.04
BEC,2025,10,120,130,92.31
BEC,2026,N/A,N/A,N/A,N/A
BEM,2021,N/A,N/A,N/A,N/A
BEM,2022,6,96,97,98.97
BEM,2023,6,101,102,99.02
BEM,2024,6,99,101,98.02
BEM,2025,7,117,119,98.32
BEM,2026,N/A,N/A,N/A,N/A
BEYOND,2021,N/A,N/A,N/A,N/A
BEYOND,2022,8,71,73,97.26
BEYOND,2023,4,33,38,86.84
BEYOND,2024,5,43,45,95.56
BEYOND,2025,5,42,44,95.45
BEYOND,2026,N/A,N/A,N/A,N/A
BGC,2021,N/A,N/A,N/A,N/A
BGC,2022,6,51,53,96.23
BGC,2023,5,42,45,93.33
BGC,2024,5,42,45,93.33
BGC,2025,6,50,54,92.59
BGC,2026,N/A,N/A,N/A,N/A
BGRIM,2021,N/A,N/A,N/A,N/A
BGRIM,2022,16,152,160,95.0
BGRIM,2023,15,138,150,92.0
BGRIM,2024,12,108,114,94.74
BGRIM,2025,16,155,167,92.81
BGRIM,2026,N/A,N/A,N/A,N/A
BGT,2021,N/A,N/A,N/A,N/A
BGT,2022,4,27,28,96.43
BGT,2023,4,27,28,96.43
BGT,2024,4,28,28,100.0
BGT,2025,4,28,28,100.0
BGT,2026,N/A,N/A,N/A,N/A
BH,2021,N/A,N/A,N/A,N/A
BH,2022,4,31,32,96.88
BH,2023,4,28,28,100.0
BH,2024,4,44,46,95.65
BH,2025,4,47,48,97.92
BH,2026,N/A,N/A,N/A,N/A
BIG,2021,N/A,N/A,N/A,N/A
BIG,2022,N/A,N/A,N/A,N/A
BIG,2023,4,37,37,100.0
BIG,2024,4,38,40,95.0
BIG,2025,4,20,20,100.0
BIG,2026,N/A,N/A,N/A,N/A
BIOTEC,2021,N/A,N/A,N/A,N/A
BIOTEC,2022,9,70,99,70.71
BIOTEC,2023,N/A,N/A,N/A,N/A
BIOTEC,2024,N/A,N/A,N/A,N/A
BIOTEC,2025,N/A,N/A,N/A,N/A
BIOTEC,2026,N/A,N/A,N/A,N/A
BIS,2021,N/A,N/A,N/A,N/A
BIS,2022,5,54,55,98.18
BIS,2023,7,77,77,100.0
BIS,2024,6,53,54,98.15
BIS,2025,5,44,45,97.78
BIS,2026,N/A,N/A,N/A,N/A
BIZ,2021,N/A,N/A,N/A,N/A
BIZ,2022,6,42,42,100.0
BIZ,2023,5,35,35,100.0
BIZ,2024,7,49,49,100.0
BIZ,2025,5,35,35,100.0
BIZ,2026,N/A,N/A,N/A,N/A
BJCHI,2021,N/A,N/A,N/A,N/A
BJCHI,2022,4,36,38,94.74
BJCHI,2023,4,33,36,91.67
BJCHI,2024,5,42,45,93.33
BJCHI,2025,5,43,45,95.56
BJCHI,2026,N/A,N/A,N/A,N/A
BJC,2021,N/A,N/A,N/A,N/A
BJC,2022,4,67,68,98.53
BJC,2023,5,64,65,98.46
BJC,2024,6,75,78,96.15
BJC,2025,6,76,78,97.44
BJC,2026,N/A,N/A,N/A,N/A
BKD,2021,N/A,N/A,N/A,N/A
BKD,2022,N/A,N/A,N/A,N/A
BKD,2023,N/A,N/A,N/A,N/A
BKD,2024,4,36,40,90.0
BKD,2025,N/A,N/A,N/A,N/A
BKD,2026,N/A,N/A,N/A,N/A
BKGI,2021,N/A,N/A,N/A,N/A
BKGI,2022,N/A,N/A,N/A,N/A
BKGI,2023,6,57,72,79.17
BKGI,2024,5,48,55,87.27
BKGI,2025,5,50,55,90.91
BKGI,2026,N/A,N/A,N/A,N/A
BLAND,2021,N/A,N/A,N/A,N/A
BLAND,2022,N/A,N/A,N/A,N/A
BLAND,2023,5,40,40,100.0
BLAND,2024,5,39,40,97.5
BLAND,2025,4,32,32,100.0
BLAND,2026,N/A,N/A,N/A,N/A
BLA,2021,N/A,N/A,N/A,N/A
BLA,2022,7,94,96,97.92
BLA,2023,7,89,92,96.74
BLA,2024,7,87,91,95.6
BLA,2025,9,115,117,98.29
BLA,2026,N/A,N/A,N/A,N/A
BLC,2021,N/A,N/A,N/A,N/A
BLC,2022,N/A,N/A,N/A,N/A
BLC,2023,6,42,42,100.0
BLC,2024,6,41,42,97.62
BLC,2025,8,54,56,96.43
BLC,2026,N/A,N/A,N/A,N/A
BLESS,2021,N/A,N/A,N/A,N/A
BLESS,2022,5,34,35,97.14
BLESS,2023,5,34,35,97.14
BLESS,2024,6,41,42,97.62
BLESS,2025,7,49,49,100.0
BLESS,2026,N/A,N/A,N/A,N/A
BLISS,2021,N/A,N/A,N/A,N/A
BLISS,2022,N/A,N/A,N/A,N/A
BLISS,2023,N/A,N/A,N/A,N/A
BLISS,2024,N/A,N/A,N/A,N/A
BLISS,2025,N/A,N/A,N/A,N/A
BLISS,2026,N/A,N/A,N/A,N/A
BM,2021,N/A,N/A,N/A,N/A
BM,2022,4,28,28,100.0
BM,2023,4,28,28,100.0
BM,2024,4,28,28,100.0
BM,2025,4,28,28,100.0
BM,2026,N/A,N/A,N/A,N/A
BOL,2021,N/A,N/A,N/A,N/A
BOL,2022,5,53,54,98.15
BOL,2023,5,52,55,94.55
BOL,2024,5,52,55,94.55
BOL,2025,7,71,77,92.21
BOL,2026,N/A,N/A,N/A,N/A
BPP,2021,N/A,N/A,N/A,N/A
BPP,2022,12,118,120,98.33
BPP,2023,12,120,120,100.0
BPP,2024,12,127,129,98.45
BPP,2025,13,139,143,97.2
BPP,2026,N/A,N/A,N/A,N/A
BPS,2021,N/A,N/A,N/A,N/A
BPS,2022,N/A,N/A,N/A,N/A
BPS,2023,4,36,36,100.0
BPS,2024,5,40,45,88.89
BPS,2025,N/A,N/A,N/A,N/A
BPS,2026,N/A,N/A,N/A,N/A
BRI,2021,N/A,N/A,N/A,N/A
BRI,2022,13,65,65,100.0
BRI,2023,12,100,100,100.0
BRI,2024,7,61,63,96.83
BRI,2025,8,65,69,94.2
BRI,2026,N/A,N/A,N/A,N/A
BROCK,2021,N/A,N/A,N/A,N/A
BROCK,2022,N/A,N/A,N/A,N/A
BROCK,2023,N/A,N/A,N/A,N/A
BROCK,2024,5,31,31,100.0
BROCK,2025,4,28,28,100.0
BROCK,2026,N/A,N/A,N/A,N/A
BRR,2021,N/A,N/A,N/A,N/A
BRR,2022,9,87,99,87.88
BRR,2023,10,107,108,99.07
BRR,2024,10,102,108,94.44
BRR,2025,8,85,88,96.59
BRR,2026,N/A,N/A,N/A,N/A
BR,2021,N/A,N/A,N/A,N/A
BR,2022,9,79,81,97.53
BR,2023,6,54,54,100.0
BR,2024,6,58,58,100.0
BR,2025,7,78,78,100.0
BR,2026,N/A,N/A,N/A,N/A
BSBM,2021,N/A,N/A,N/A,N/A
