Company_Symbol,Year,Total_Board_Meetings_Per_Year,Company_Overall_Attendance,Total_Should_Attend,Company_Overall_Attendance_Percentage
2S,2021,N/A,N/A,N/A,N/A
2S,2022,5,50,50,100.0
2S,2023,4,40,40,100.0
2S,2024,6,59,60,98.33
2S,2025,5,49,50,98.0
2S,2026,N/A,N/A,N/A,N/A
A5,2021,N/A,N/A,N/A,N/A
A5,2022,7,42,42,100.0
A5,2023,5,30,30,100.0
A5,2024,11,66,66,100.0
A5,2025,5,33,35,94.29
A5,2026,N/A,N/A,N/A,N/A
AAI,2021,N/A,N/A,N/A,N/A
AAI,2022,7,54,56,96.43
AAI,2023,6,45,48,93.75
AAI,2024,5,38,40,95.0
AAI,2025,4,34,35,97.14
AAI,2026,N/A,N/A,N/A,N/A
AAV,2021,N/A,N/A,N/A,N/A
AAV,2022,4,46,52,88.46
AAV,2023,4,47,48,97.92
AAV,2024,5,54,58,93.1
AAV,2025,8,90,94,95.74
AAV,2026,N/A,N/A,N/A,N/A
ABM,2021,N/A,N/A,N/A,N/A
ABM,2022,5,36,40,90.0
ABM,2023,4,29,36,80.56
ABM,2024,5,35,35,100.0
ABM,2025,4,28,28,100.0
ABM,2026,N/A,N/A,N/A,N/A
ACAP,2021,N/A,N/A,N/A,N/A
ACAP,2022,8,53,54,98.15
ACAP,2023,N/A,N/A,N/A,N/A
ACAP,2024,5,29,30,96.67
ACAP,2025,N/A,N/A,N/A,N/A
ACAP,2026,N/A,N/A,N/A,N/A
ACC,2021,N/A,N/A,N/A,N/A
ACC,2022,20,146,159,91.82
ACC,2023,8,61,63,96.83
ACC,2024,15,115,118,97.46
ACC,2025,18,136,141,96.45
ACC,2026,N/A,N/A,N/A,N/A
ACE,2021,N/A,N/A,N/A,N/A
ACE,2022,8,76,80,95.0
ACE,2023,8,80,80,100.0
ACE,2024,7,70,70,100.0
ACE,2025,10,99,100,99.0
ACE,2026,N/A,N/A,N/A,N/A
ACG,2021,N/A,N/A,N/A,N/A
ACG,2022,6,54,54,100.0
ACG,2023,6,59,59,100.0
ACG,2024,4,37,37,100.0
ACG,2025,N/A,N/A,N/A,N/A
ACG,2026,N/A,N/A,N/A,N/A
ADB,2021,N/A,N/A,N/A,N/A
ADB,2022,7,77,77,100.0
ADB,2023,7,77,77,100.0
ADB,2024,7,76,77,98.7
ADB,2025,6,62,65,95.38
ADB,2026,N/A,N/A,N/A,N/A
ADD,2021,N/A,N/A,N/A,N/A
ADD,2022,7,48,49,97.96
ADD,2023,8,55,56,98.21
ADD,2024,6,40,42,95.24
ADD,2025,6,40,42,95.24
ADD,2026,N/A,N/A,N/A,N/A
ADVANC,2021,N/A,N/A,N/A,N/A
ADVANC,2022,12,125,131,95.42
ADVANC,2023,8,85,88,96.59
ADVANC,2024,10,112,116,96.55
ADVANC,2025,13,163,172,94.77
ADVANC,2026,N/A,N/A,N/A,N/A
ADVICE,2021,N/A,N/A,N/A,N/A
ADVICE,2022,N/A,N/A,N/A,N/A
ADVICE,2023,8,79,80,98.75
ADVICE,2024,5,48,52,92.31
ADVICE,2025,5,50,50,100.0
ADVICE,2026,N/A,N/A,N/A,N/A
AEONTS,2021,N/A,N/A,N/A,N/A
AEONTS,2022,13,153,155,98.71
AEONTS,2023,11,131,132,99.24
AEONTS,2024,12,144,147,97.96
AEONTS,2025,N/A,N/A,N/A,N/A
AEONTS,2026,N/A,N/A,N/A,N/A
AE,2021,N/A,N/A,N/A,N/A
AE,2022,10,65,74,87.84
AE,2023,8,59,60,98.33
AE,2024,5,43,43,100.0
AE,2025,7,62,63,98.41
AE,2026,N/A,N/A,N/A,N/A
AFC,2021,N/A,N/A,N/A,N/A
AFC,2022,N/A,N/A,N/A,N/A
AFC,2023,N/A,N/A,N/A,N/A
AFC,2024,5,70,75,93.33
AFC,2025,5,70,70,100.0
AFC,2026,N/A,N/A,N/A,N/A
AF,2021,N/A,N/A,N/A,N/A
AF,2022,N/A,N/A,N/A,N/A
AF,2023,6,59,66,89.39
AF,2024,6,60,60,100.0
AF,2025,5,50,50,100.0
AF,2026,N/A,N/A,N/A,N/A
AGE,2021,N/A,N/A,N/A,N/A
AGE,2022,6,47,54,87.04
AGE,2023,5,39,39,100.0
AGE,2024,6,46,48,95.83
AGE,2025,5,40,40,100.0
AGE,2026,N/A,N/A,N/A,N/A
AHC,2021,N/A,N/A,N/A,N/A
AHC,2022,8,68,72,94.44
AHC,2023,8,61,72,84.72
AHC,2024,8,57,64,89.06
AHC,2025,7,59,70,84.29
AHC,2026,N/A,N/A,N/A,N/A
AH,2021,N/A,N/A,N/A,N/A
AH,2022,7,46,46,100.0
AH,2023,4,28,28,100.0
AH,2024,7,47,48,97.92
AH,2025,9,62,62,100.0
AH,2026,N/A,N/A,N/A,N/A
AIE,2021,N/A,N/A,N/A,N/A
AIE,2022,5,30,30,100.0
AIE,2023,5,30,30,100.0
AIE,2024,5,34,34,100.0
AIE,2025,4,28,28,100.0
